id,Q,A,QS1,QS2
74,关于苏州瑞可达连接系统股份有限公司的公告内容，公司近五年是否被证券监管部门或证券交易所采取过处罚或监管措施？,苏州瑞可达连接系统股份有限公司近五年内未被证券监管部门或证券交易所处罚或采取监管措施。,最近五年内，苏州瑞可达连接系统股份有限公司是否被证券监管部门或证券交易所处罚或采取过监管措施？,公司最近五年内是否曾被证券监管部门或证券交易所处罚或接受监管措施？
75,奥比中光科技集团股份有限公司自查结果如何？,经自查，公司最近五年不存在被证券监管部门和证券交易所采取监管措施或处罚的情况。,奥比中光科技集团股份有限公司自查结果如何？,公司最近五年是否存在被证券监管部门和证券交易所采取监管措施或处罚的情况？
76,公司最近五年是否存在被证券监管部门或交易所处罚或采取监管措施的情况?,公司最近五年不存在被证券监管部门或交易所处罚或采取监管措施的情况。,公司在过去五年内是否曾被证监会或交易所处罚或接受监管措施?,公司最近五年内有没有受到证监会或交易所的处罚或监管措施?
77,水发派思燃气股份有限公司最近五年是否存在被证券监管部门和交易所采取监管措施或处罚的情况？,水发派思燃气股份有限公司最近五年不存在被证券监管部门和交易所采取监管措施或处罚的情况。,水发派思燃气股份有限公司近五年内是否被证券监管机构和交易所处罚或采取监管措施？,水发派思燃气股份有限公司在过去五年内有没有受到证券监管部门和交易所的处罚或监管措施？
78,芯原微电子（上海）股份有限公司最近五年是否存在被证券监管部门和交易所采取监管措施或处罚的情况？,芯原微电子（上海）股份有限公司最近五年不存在被证券监管部门和交易所处罚的情况，但在2022年11月收到中国证券监督管理委员会上海监管局出具的《警示函》，涉及公司与Alphawave IP Inc.签署的关联交易未及时履行审议程序和信息披露义务，违反了相关法规。针对此情况，公司及相关负责人已进行整改并加强内部控制体系建设。,芯原微电子（上海）股份有限公司最近五年有没有接受过证券监管部门和交易所的处罚？,芯原微电子（上海）股份有限公司最近五年是否曾被证券监管部门和交易所采取监管措施？
79,时代新材料科技股份有限公司最近五年是否被证券监管部门和证券交易所处罚或采取监管措施？,株洲时代新材料科技股份有限公司最近五年没有被证券监管部门和证券交易所处罚，但曾被上海证券交易所和湖南证监局采取监管措施，并进行整改。,株洲时代新材料科技股份有限公司最近五年有没有受到处罚或监管措施？,时代新材料科技股份有限公司近五年有没有被证券监管部门和证券交易所采取监管措施或处罚？
80,"针对柳州两面针股份有限公司2023年第一次临时股东大会的法律意见书,律师是否认为本次股东大会的召集和召开程序、出席会议人员资格、召集人资格、会议表决程序、表决结果以及形成的会议决议都符合相关法律规定?",律师根据审核的会议文件和现场见证情况，认为公司本次股东大会的召集和召开程序、出席会议人员资格、召集人资格、会议表决程序、表决结果以及形成的会议决议都符合《公司法》、《股东大会规则》等法律、法规、规范性文件和《公司章程》的相关规定，并合法有效。,"就柳州两面针股份有限公司2023年第一次临时股东大会的法律意见书,律师是否认为会议召集和召开程序、出席会议人员资格、召集人资格、会议表决程序、表决结果以及形成的会议决议都符合相关法律规定?","根据柳州两面针股份有限公司2023年第一次临时股东大会的法律意见书,律师是否认可本次股东大会的召集和召开程序、出席会议人员资格、召集人资格、会议表决程序、表决结果以及形成的会议决议均合法有效?"
81,鹏欣环球资源股份有限公司因为独立董事王铁林的行政处罚是否会受到影响？,鹏欣环球资源股份有限公司表示，独立董事王铁林的行政处罚事项与公司无关，不会对公司的日常经营活动产生影响。,鹏欣环球资源股份有限公司是否因独立董事王铁林的行政处罚会受到影响？,独立董事王铁林的行政处罚对鹏欣环球资源股份有限公司会产生影响吗？
82,涉及公司股东涉嫌超比例减持公告的主要内容是什么？,公告涉及公司股东涉嫌超比例减持被中国证监会立案调查，股东范易等涉嫌限制期转让公司股票，中国证监会江苏监管局拟对相关股东作出行政处罚。,涉及公司股东涉嫌超比例减持的公告涉及了哪些股东的行为？,涉及公司股东涉嫌超比例减持的公告对公司可能产生什么样的影响和风险？
83,谁被中国证监会江苏监管局下发了《行政处罚决定书》？,中国证监会江苏监管局下发了《行政处罚决定书》给于范易及其一致行动人刘福娟女士、烟台埃维商贸有限公司、西藏埃维创业投资有限公司、烟台埃维管业有限公司。,谁收到了《行政处罚决定书》？,《行政处罚决定书》发给了谁？
84,本次股东大会召开的程序是否合法有效？,是的，根据律师的审查，本次股东大会的召集和召开程序符合《公司法》、《证券法》、《股东大会规则》等法律、法规、规范性文件和《公司章程》、《股东大会议事规则》的相关规定，因此程序是合法有效的。,本次股东大会的召集和召开程序是否符合相关法律法规？,本次股东大会的召集是否符合公司章程及股东大会议事规则的规定，是否符合法律法规？
85,关于2023年度向不特定对象发行可转换公司债券的法律意见书的核心内容是什么？,该法律意见书主要涵盖了发行可转换公司债券的批准授权、主体资格、实质条件、发行人的设立和独立性、主要股东、业务、财产、债权债务、重大资产变化及收购兼并等方面的细节，以及法律意见书的声明和发表法律意见的基准日。,这份法律意见书包含了哪些内容？,2023年发行可转换公司债券的法律意见书涉及了哪些方面的内容？
86,贵州航宇科技发展股份有限公司向不特定对象发行可转换公司债券的法律意见书的主要内容是什么？,法律意见书主要内容包括批准和授权、发行主体资格、实质条件、发行人的设立、独立性、主要股东、股本、业务、关联交易、财产、重大债权债务、资产变化、公司章程、股东大会规则、董事、监事和管理人员、税务、环境保护、募集资金运用、诉讼、仲裁或行政处罚等内容。,贵州航宇科技发展股份有限公司向不特定对象发行可转换公司债券的法律意见书中包括哪些方面的内容？,贵州航宇科技发展股份有限公司向不特定对象发行可转换公司债券的法律意见书涉及哪些方面的内容？
87,对于公司2023年第二次临时股东大会的法律意见书，律师事务所给出了怎样的结论意见？,律师事务所认为，公司2023年第二次临时股东大会的召集和召开的程序、参加股东大会人员的资格、股东大会召集人的资格、股东大会的表决程序均符合国家有关法律、法规和公司章程的规定，本次股东大会的决议合法有效。,律师事务所对公司2023年第二次临时股东大会的法律意见作出了怎样的结论？,律师事务所就公司2023年第二次临时股东大会的法律意见作出了什么样的结论？
88,泰凌微电子（上海）股份有限公司的基本情况是什么？,泰凌微电子（上海）股份有限公司是一家依法设立并有效存续的股份有限公司，股票在上交所科创板上市，股票简称“泰凌微”，股票代码“688591”。其营业执照上海市市场监督管理局核发，统一社会信用代码为91310000557430243L。经营范围包括微电子产品、集成电路芯片、系统设备硬件的开发、设计，计算机软件的开发、设计、制作，销售自产产品，自有技术转让，并提供相关技术咨询和技术服务。,泰凌微电子（上海）股份有限公司的股票简称和代码是什么？,泰凌微电子（上海）股份有限公司的经营范围包括哪些内容？
89,本次股东大会的召集程序是否符合法律规定？,是的，根据《公司法》、《规则》等相关法律、法规、规范性文件及《公司章程》的规定，本次股东大会的召集程序符合法律规定。,公司本次股东大会的召集程序是否合法？,本次股东大会的召集是否符合相关法律规定？
90,对于浙江永和制冷股份有限公司2023年第四次临时股东大会的法律意见书内容有哪些重要观点?,法律意见书中重要观点包括：股东大会的召集、召开程序合法有效；召集人和出席者的资格合法有效；审议的议案符合相关规定；股东大会的表决程序和结果合法有效。,浙江永和制冷股份有限公司2023年第四次临时股东大会的法律意见书内容涵盖了哪些方面?,浙江永和制冷股份有限公司2023年第四次临时股东大会法律意见书中的观点有哪些要点?
91,这份文件是关于什么内容的?,这份文件是关于四川广安爱众股份有限公司2023年限制性股票激励计划草案的法律意见书。,这份文件涉及哪家公司的法律事务?,这份文件是关于哪家公司的股票激励计划的法律意见书?
92,本次激励计划的审批程序是否完成？,公司已经完成了本次预留授予及授予价格调整事项的审批程序，包括董事会、监事会审议通过，并进行了公示。,公司是否已完成本次激励计划的审批程序？,本次激励计划的批准程序是否已经履行？
93,本次股东大会的召集和召开程序是否符合法律规定？,本次股东大会的召集和召开程序符合法律、法规和《公司章程》的规定，会议程序合法有效。,这次股东大会的召集和召开程序是否符合法律法规？,公司本次股东大会的召集和召开程序是否合法？
94,收购人的注册资本是多少?,"收购人中国国际电视总公司的注册资本为1,253,861.98万元。",中国国际电视总公司的注册资本是多少?,中国国际电视总公司的注册资本金额是多少?
95,这份法律意见书主要涉及了哪些方面？,这份法律意见书主要涉及了本次股东大会的召集、召开程序、召集人和出席会议人员的资格、表决程序和表决结果。,这份法律意见书覆盖了哪些方面？,这份法律意见书覆盖了哪些内容？
96,根据法律意见书，公司2023年第四次临时股东大会程序是否合法有效?,根据法律意见书，公司2023年第四次临时股东大会的召集和召开程序、参加会议人员和召集人资格、会议审议事项和表决方式及程序、会议表决结果均符合我国相关法律、法规、规范性文件以及《公司章程》和《股东大会议事规则》的有关规定，会议形成的决议合法、有效。,公司2023年第四次临时股东大会程序是否符合法律规定?,公司2023年第四次临时股东大会的召集和召开程序是否合法?
97,长城汽车股份有限公司2023年股票期权激励计划的主体资格和条件如何?,长城汽车股份有限公司具备依法设立并有效存续的主体资格，不存在不得实行股权激励的情形，符合股权激励计划的实施条件。,长城汽车股份有限公司2023年股票期权激励计划符合哪些实施条件?,长城汽车股份有限公司是否适合实施2023年股票期权激励计划?
98,对于大连圣亚旅游控股股份有限公司2023年第二次临时股东大会的法律意见，专家意见是什么？,专家根据中国现行法律法规、规章及规范性文件的要求以及《公司章程》的有关规定认为，大连圣亚旅游控股股份有限公司2023年第二次临时股东大会的召集、召开程序、出席人员资格以及表决程序和结果均符合法律规定，通过的决议合法有效。,大连圣亚旅游控股股份有限公司2023年第二次临时股东大会的法律意见书内容是什么？,2023年第二次临时股东大会的法律意见书是否符合中国现行法律法规的要求？
99,首开股份因何收到《行政处罚事先告知书》？,首开股份收到《行政处罚事先告知书》是因为涉嫌在2021年存货减值测试中高估下属子公司存货可变现净值，少计提存货跌价准备4.05亿元，少计资产减值损失4.05亿元，导致年度报告存在错报，并影响发行文件和银行间债券市场披露。首开股份及相关责任人涉嫌违反证券法等法律法规，因此收到了《行政处罚事先告知书》。,首开股份为何收到《行政处罚事先告知书》？,首开股份收到《行政处罚事先告知书》的原因是什么？
100,首开股份因何被处以行政处罚？,首开股份因在2021年存货减值测试中高估下属子公司存货可变现净值，少计提存货跌价准备4.05亿元，少计资产减值损失4.05亿元，导致年度报告存在错报，违反《证券法》等相关规定，被处以150万元的罚款。时任董事长、董事兼总经理和总会计师也被处以60万元的罚款。,首开股份因何被处以行政处罚？,首开股份为何收到行政处罚？
101,华夏中证全指信息技术交易型开放式指数证券投资基金的基金合同包含哪些部分？,华夏中证全指信息技术交易型开放式指数证券投资基金的基金合同包含了前言、释义、基金的基本情况、基金份额的发售、基金备案、基金份额的申购与赎回等部分。,华夏中证全指信息技术交易型开放式指数证券投资基金的基金合同包含了哪些部分？,基金合同中的第一部分是什么？
102,博众精工科技股份有限公司监事会议事规则的总则是什么？,博众精工科技股份有限公司的监事会议事规则的总则是为规范公司监事会的议事方式和表决程序，促使监事和监事会依法有效行使监督职能，根据《公司法》、《证券法》、《上市公司治理准则》以及《公司章程》的规定，制定本议事规则。,博众精工科技股份有限公司的监事会议事规则为何制定？,博众精工科技股份有限公司监事会议事规则的目的是什么？
103,博天环境集团股份有限公司收到的《行政处罚及市场禁入事先告知书》的主要内容是什么？,博天环境集团股份有限公司收到《行政处罚及市场禁入事先告知书》，内容包括公司涉嫌虚增或虚减营业收入、利润的违法行为，造成多年财务报告存在虚假记载，涉嫌违反《证券法》相关规定。相关主管人员还涉及未勤勉尽责的行为，面临警告和罚款处罚，公司股票可能被终止上市。另外，公司前董事长因怠于履职导致内部管理失控，也将面临严重的证券市场禁入措施。,博天环境集团股份有限公司收到的《行政处罚及市场禁入事先告知书》指出了公司的违法行为和相关人员可能面临的处罚吗？,博天环境集团股份有限公司收到的《行政处罚及市场禁入事先告知书》中披露了公司的主要违法情况和相关人员可能面临的处罚措施吗？
104,同方股份有限公司因何被处罚？,同方股份有限公司因其全资子公司同方知网（北京）技术有限公司、同方知网数字出版社技术股份有限公司所运营的多个App存在违反个人信息保护法律法规的行为，被国家互联网信息办公室依法作出网络安全审查相关行政处罚。具体处罚内容包括违反必要原则收集个人信息、未经同意收集个人信息、未公开或未明示收集使用规则、未提供账号注销功能以及在用户注销账号后未及时删除用户个人信息等。为此，公司被责令停止违法处理个人信息行为，并处罚款5000万元。,同方股份有限公司为何被罚款？,同方股份有限公司的何种行为导致了行政处罚？
105,本次股东大会中，股东的出席情况如何？,"本次股东大会中，共有17人出席现场会议和通过网络投票，持有股份总数为144,043,402股，占股权登记日公司股份总数的36.8330%。",股东大会上有多少人出席股东大会，持有的股份总数占比是多少？,股东大会中，有多少名股东出席了会议，并且占有多少的表决权股份？
106,针对国投中鲁果汁股份有限公司收到《行政处罚决定书》的公告，该公司的违法事实是什么？,国投中鲁果汁股份有限公司存在违法事实包括未披露应当披露的重大事项，违反了《证券法》第七十八条第二款的规定，构成《证券法》第一百九十七条第二款所述违法行为。,国投中鲁果汁股份有限公司存在什么样的违法事实？,国投中鲁果汁股份有限公司违反了哪些证券法规定？
107,根据法律意见书的内容，公司已经完成了哪些程序来批准和授权本次解除限售事项？,截至本法律意见书出具之日，公司完成了以下程序：2022年7月10日，公司第四届董事会审议通过了《2022年限制性股票激励计划（草案）》及其他相关议案；公司独立董事和监事会对相关事项发表了意见。2022年7月26日，公司召开了第二次临时股东大会，审议通过了相关议案并授权董事会办理后续相关事宜。2022年7月26日，公司还召开了第四届董事会审议通过了《关于向激励对象首次授予限制性股票的议案》，并经独立董事和监事会审议通过。 2022年9月30日，公司召开第四届董事会审议通过了《关于向激励对象预留授予限制性股票的议案》。,公司为批准和授权本次解除限售事项完成了哪些程序？,截至法律意见书的出具日期，公司已经通过哪些程序来批准和授权本次解除限售事项？
108,对龙宇数据股份有限公司2023年第三次临时股东大会的法律意见是否合法有效进行评估?,对龙宇数据股份有限公司2023年第三次临时股东大会的法律意见进行评估，认为其召集、召开程序、出席会议人员资格、召集人资格、表决程序和表决结果均符合法律、法规和规范性文件以及《公司章程》的规定，本次股东大会通过的决议合法有效。,综合评估龙宇数据股份有限公司2023年第三次临时股东大会的法律意见是否合法有效。,龙宇数据股份有限公司2023年第三次临时股东大会的法律意见是否符合相关法律、法规和章程的规定?
109,宁波拓普集团的这份文件是关于什么内容的法律意见书？,这份文件是关于宁波拓普集团股份有限公司2023年第三次临时股东大会的法律意见书。,宁波拓普集团这份文件的主要包括了那些法律意见书？,这份文件是针对宁波拓普集团哪次股东大会的法律意见书？
110,确认国浩律师（上海）事务所对密尔克卫化工供应链服务股份有限公司2023年第三次临时股东大会的法律意见是否合法有效？,国浩律师（上海）事务所确认密尔克卫化工供应链服务股份有限公司2023年第三次临时股东大会的召集及召开程序符合法律、法规和《公司章程》的规定；出席及列席会议人员以及会议召集人的资格均合法有效；本次股东大会的表决程序符合有关法律、法规及《公司章程》的规定，表决结果合法有效。,国浩律师（上海）事务所是否确认密尔克卫化工供应链服务股份有限公司2023年第三次临时股东大会的法律意见合法？,密尔克卫化工供应链服务股份有限公司2023年第三次临时股东大会的法律意见是否经国浩律师（上海）事务所确认合法？
111,思瑞浦微电子科技（苏州）股份有限公司2023年限制性股票激励计划的法律意见书是由哪个律所出具的？,思瑞浦微电子科技（苏州）股份有限公司2023年限制性股票激励计划的法律意见书由国浩律师（上海）事务所出具。,思瑞浦微电子科技（苏州）股份有限公司2023年限制性股票激励计划的法律意见书由哪个律所出具的？,哪家律所出具了思瑞浦微电子科技（苏州）股份有限公司2023年限制性股票激励计划的法律意见书？
112,三星新材股份有限公司的这份法律意见书的主要内容是什么？,这份法律意见书主要涵盖了浙江三星新材股份有限公司2023年度向特定对象发行A股股票的相关法律问题和意见。,请问三星新材股份有限公司的这份文件详细列举了法律意见书中的各项内容？,三星新材股份有限公司的这份法律意见书主要讨论了哪些方面的问题？
113,针对新疆伊力特实业股份有限公司2023年第一次临时股东大会的法律意见书，请问该股东大会的召集、召开程序、出席会议人员资格、以及表决程序是否符合相关法律法规？,经国浩律师（乌鲁木齐）事务所的法律意见书认定，该股东大会的召集、召开程序、出席会议人员资格、以及表决程序均符合《公司法》《股东大会规则》等有关法律、行政法规、规范性文件及《公司章程》的规定，且本次股东大会审议议案表决结果合法有效。,关于新疆伊力特实业股份有限公司2023年第一次临时股东大会的法律意见书，该股东大会的召集、召开程序、出席会议人员资格、以及表决程序是否符合相关法律法规？,请问国浩律师（乌鲁木齐）事务所就新疆伊力特实业股份有限公司2023年第一次临时股东大会发表的法律意见书中指出的股东大会程序是否合法有效？
114,中泰证券2023年第四次临时股东大会的法律意见书中所述的大会程序是否合法有效？,根据法律意见书所述，中泰证券2023年第四次临时股东大会的召集、召开程序符合法律、法规、规章和规范性文件及《公司章程》相关规定；出席会议人员的资格、召集人资格合法有效；出席本次股东大会的股东没有提出新议案；表决程序和表决结果合法有效。,中泰证券2023年第四次临时股东大会是否涉及未列入议程的议案？,根据法律意见书所述，中泰证券2023年第四次临时股东大会没有审议未列入会议议程的议案。
115,关于银座集团股份有限公司2023年第三次临时股东大会的法律意见书中对股东大会程序及结果的认可是什么？,银座集团股份有限公司2023年第三次临时股东大会的法律意见书认可了股东大会的召集、召开程序符合法律、法规、规章和规范性文件及《公司章程》相关规定；出席会议人员的资格、召集人资格合法、有效；出席本次股东大会的股东没有提出新议案；表决程序和表决结果合法有效。,对于银座集团股份有限公司2023年第三次临时股东大会的法律意见书中对股东大会程序及结果的认可是什么？,银座集团股份有限公司2023年第三次临时股东大会的法律意见书如何认可股东大会的程序及结果？
116,圆通速递股份有限公司因何被大连证监局处罚？,圆通速递股份有限公司被大连证监局处罚是因为公司董事兼副总裁张益忠利用其子张某杰名下证券账户进行违规买卖公司股票，违反了《中华人民共和国证券法》的规定，最终被处以警告并罚款五十万元。,大连证监局为何对圆通速递股份有限公司进行处罚？,为何会出现圆通速递股份有限公司因为违规买卖公司股票被罚款的情况？
117,大西洋公司因何受到环保部门处罚？,大西洋公司因拉丝车间废气收集管道2号口脱落，无法正常收集废气，违反了《上海市大气污染防治条例》的规定，因此受到环保部门的罚款处罚。,为何大西洋公司受到环保部门的罚款处罚？,是什么原因导致大西洋公司被环保部门罚款？
118,四川大西洋焊接材料股份有限公司因何被处以行政处罚？,"四川大西洋焊接材料股份有限公司因员工违章操作导致生产安全责任事故，造成重伤，安全生产主体责任落实不力，被自贡市应急管理局处以罚款人民币 300,000.00 元的行政处罚。",为何四川大西洋焊接材料股份有限公司被处以行政处罚？,四川大西洋焊接材料股份有限公司因何收到行政处罚决定书？
119,宁夏中科生物科技股份有限公司实际控制人虞建明先生收到的《行政处罚决定书》对公司有何影响？,虞建明先生因涉嫌信息披露违法违规被中国证监会宁夏监管局处以警告并处以50万元罚款。对公司的影响不会对公司生产经营产生重大影响。,虞建明先生收到的《行政处罚决定书》对公司的影响有多大？,虞建明先生受到的行政处罚对公司的经营情况会有怎样的影响？
120,公司是否收到行政处罚事先告知书？,公司收到了中国证监会宁夏监管局下发的《行政处罚事先告知书》。,宁夏中科生物科技股份有限公司是否收到行政处罚事先告知书？,关于实际控制人的行政处罚事先告知书是否已经收到？
121,根据《安徽铜峰电子股份有限公司 2023年限制性股票激励计划（草案）》和相关法律法规，股权激励计划的目的是什么？激励对象的确定依据和范围是如何规定的？,根据《安徽铜峰电子股份有限公司 2023年限制性股票激励计划（草案）》，股权激励计划的目的是为了进一步建立、健全公司长效激励机制，吸引和留住优秀人才，充分调动公司董事、高级管理人员、中层管理人员及核心骨干人员的积极性，并将股东利益、公司利益和经营者个人利益结合在一起；激励对象的确定依据包括公司法、证券法、管理办法、试行办法、规范通知等有关法律、法规、规范性文件和公司章程的相关规定，激励对象涵盖公司董事、高级管理人员、中层管理人员及核心骨干人员，不包括控股股东以外人员担任的外部董事、独立董事和监事。激励对象的具体范围为公司公告本计划时在公司（含分公司及控股子公司）任职的公司董事、高级管理人员、中层管理人员及核心骨干人员，不包括控股股东以外人员担任的外部董事、独立董事、监事及单独或合计持有公司5%以上股份的股东或实际控制人及其配偶、父母、子女。,根据《安徽铜峰电子股份有限公司 2023年限制性股票激励计划（草案）》，股权激励计划的目的是为了什么？激励对象的确定依据是哪些？,《安徽铜峰电子股份有限公司 2023年限制性股票激励计划（草案）》规定了股权激励计划的目的和激励对象的确定依据是什么？
122,根据以上内容，这份文件的主要目的是什么？,根据以上内容，这份文件的主要目的是总结公司最新财务数据和业绩，并向投资者和利益相关方传达相关信息。,根据以上内容，这份文件的主要目的是什么？,根据以上的内容，这份文件的核心目标是什么？
123,根据法律意见书，公司股东大会的召集和召开程序是否符合相关法律法规和章程规定？,根据法律意见书，公司股东大会的召集和召开程序符合《公司法》、《证券法》、《股东大会规则》等法律法规和《公司章程》、《股东大会议事规则》的相关规定。,从法律意见书来看，公司股东大会召集和召开程序是否符合法律法规和章程规定？,根据法律意见书的内容，公司股东大会召开程序是否符合相关法律法规和章程规定？
124,本次股东大会是否符合相关法律、法规及规范性文件的要求？,是的，根据律师的审查，本次股东大会的召集和召开程序、出席会议人员和会议召集人资格、会议表决程序及表决结果均符合《公司法》、《证券法》、《股东大会规则》等法律、法规、规范性文件和公司章程的相关规定。,本次股东大会是否符合法律规定，以及规范性文件的要求？,本次股东大会的程序和表决是否合法有效？
125,康隆达公司原董事、高级管理人员收到的行政处罚决定书内容是什么？,根据中国证监会浙江监管局的《行政处罚决定书》，康隆达公司原董事、高级管理人员刘国海因涉嫌内幕交易和短线交易被处以罚款的行政处罚。,康隆达公司原董事、高级管理人员受到了什么样的行政处罚？,刘国海因什么原因受到行政处罚？
126,康隆达收到中国证监会《行政处罚事先告知书》，具体涉嫌哪些违法事实？,"康隆达涉嫌违法事实包括：
1. 康隆达未及时告知上市公司《合作备忘录》事项，导致未及时公告。
2. 康隆达涉嫌未及时披露《终止合作基础协议》所涉上市公司重大风险。
3. 康隆达2020年年度报告涉嫌存在虚假记载。",康隆达违法事实包括哪些？,康隆达收到中国证监会的《行政处罚事先告知书》，涉嫌哪些具体违法行为？
127,蚂蚁集团受到金融管理部门行政处罚对恒生电子股份有限公司的影响有多大？,蚂蚁集团受到金融管理部门行政处罚所涉及的罚款预计对恒生电子股份有限公司2023年度财务报表无重大影响。,金融管理部门对蚂蚁集团的行政处罚会对恒生电子股份有限公司的财务报表造成重大影响吗？,蚂蚁集团的行政处罚预计会对恒生电子股份有限公司的财务报表产生何种影响？
128,这份法律意见书对上海振华重工（集团）股份有限公司2023年第二次临时股东大会的法律程序和结果作出了如何的评价?,该法律意见书认为上海振华重工（集团）股份有限公司2023年第二次临时股东大会的召集、召开程序符合法律、法规及《公司章程》的规定；召集人和出席会议人员的资格合法、有效；表决程序符合《公司章程》的规定，表决结果合法有效。,上海振华重工（集团）股份有限公司2023年第二次临时股东大会的法律程序和结果是否符合相关法律法规?,对于上海振华重工（集团）股份有限公司2023年第二次临时股东大会，法律意见书作出了怎样的评价?
129,文一科技收到的《行政处罚决定书》涉及的罪名是什么？,《行政处罚决定书》指出，文一科技存在信息披露违法行为，主要涉及资产减值方面的违规行为。,文一科技被处以什么样的行政处罚？,文一科技因何被中国证监会处以行政处罚？
130,董事会秘书的主要职责是什么？,董事会秘书的主要职责包括负责信息披露事务、投资者关系管理、筹备组织董事会会议和股东大会会议、保密工作、股票及其衍生品种变动管理等。,董事会秘书的工作内容有哪些？,董事会秘书的职责包括哪些方面？
131,根据法律意见书，公司2023年第二次临时股东大会的召集和召开程序是否合法有效？,根据法律意见书，公司2023年第二次临时股东大会的召集和召开程序符合《公司法》、《证券法》、《股东大会规则》等法律、法规、规范性文件和《公司章程》、《股东大会议事规则》的相关规定，合法有效。,法律意见书中公司2023年第二次临时股东大会的召集和召开程序是否符合法律法规？,法律意见书是否认为公司2023年第二次临时股东大会的召集和召开程序合法？
132,根据法律意见书，江苏索普化工股份有限公司2023年第二次临时股东大会的召集、召开程序、出席会议人员资格、召集人资格、表决程序以及表决结果是否合法有效？,根据法律意见书，江苏索普化工股份有限公司2023年第二次临时股东大会的召集、召开程序、出席会议人员资格、召集人资格、表决程序以及表决结果合法有效。,江苏索普化工股份有限公司2023年第二次临时股东大会是否符合法律规定？,根据法律意见书，对江苏索普化工股份有限公司2023年第二次临时股东大会的法律程序是否合法有效？
133,江西金达莱环保股份有限公司2023年第二次临时股东大会的法律意见书内容概述是什么？,这份文件是江西华邦律师事务所就江西金达莱环保股份有限公司2023年第二次临时股东大会的法律意见书，主要包括了律师对本次股东大会的召集、召开程序、召集人资格、参加股东大会人员的资格以及表决程序等方面的审查意见。,江西金达莱环保股份有限公司2023年第二次临时股东大会的法律意见书内容包括哪些方面？,这份文档主要围绕江西金达莱环保股份有限公司2023年第二次临时股东大会的召集、召开程序、召集人资格、参加股东大会人员的资格以及表决程序进行了怎样的审查？
134,证券交易所的法定自律性质及一线监管职责在我国法律体系中的确认和整合方式是什么？,本文以《证券法》和《证券交易所管理办法》的修订为背景，解析证券交易所在我国新兴加转轨的市场特质下的主体属性，辨析交易所是法定自律组织还是法律法规授权组织，并探究证券交易所在当前监管权力架构变革和交易所监管转型新形势下的权能扩张表现及其权力来源。本文意在厘清证券交易所在面临自律管理归位与一线监管扩权的改革预期下，其法律地位和一系列监管权能的法律基础、整合方式以及监督机制，包括接受司法审查的制度空间。,在我国法律体系中，证券交易所的自律性质和一线监管职责是如何确认和整合的？,证券交易所在我国法律体系中到底属于法定自律组织还是法律法规授权组织？
135,根据华东建筑集团股份有限公司2023年第一次临时股东大会的法律意见书，该股东大会的召集和表决程序是否符合相关法律法规？,根据华东建筑集团股份有限公司2023年第一次临时股东大会的法律意见书，该股东大会的召集和表决程序符合相关法律法规。,公司股东大会召集和表决程序是否符合相关法律法规？,根据法律意见书，公司股东大会召集和表决程序是否合法？
136,根据法律意见书，雅戈尔集团股份有限公司2023年第一次临时股东大会是否合法有效？,根据法律意见书，雅戈尔集团股份有限公司2023年第一次临时股东大会的召集和召开程序、出席股东大会人员的资格和召集人的资格、股东大会的表决程序和表决结果等事项均符合《公司法》、《股东大会规则》等法律、法规、规范性文件及《公司章程》的规定，故该股东大会决议合法有效。,雅戈尔集团股份有限公司2023年第一次临时股东大会是否合法举行？,根据律师事务所的法律意见书，雅戈尔集团股份有限公司2023年第一次临时股东大会是否符合法律规定？
137,对于浙江和义观达律师事务所出具的关于香溢融通控股集团股份有限公司2023年第一次临时股东大会的法律意见书，律师认为股东大会的召集和召开程序、出席股东的资格、召集人的资格、以及股东大会的表决程序和表决结果都符合相关法律、法规和公司章程规定，决议合法有效。有无异议？,根据浙江和义观达律师事务所出具的法律意见书，律师认为股东大会的召集和召开程序、出席股东的资格、召集人的资格、以及股东大会的表决程序和表决结果都符合相关法律、法规和公司章程规定，决议合法有效。,律师是否认为公司本次股东大会的召集和召开程序符合相关法律、法规和公司章程规定？,股东大会的表决程序和表决结果是否符合相关法律、法规和公司章程规定？
138,长白山森工集团有限公司是否具备本次免于发出要约收购的资格？,是的，根据浙江天册律师事务所的分析，长白山森工集团有限公司在法律上具备本次免于发出要约收购的资格。该公司为依法设立并有效存续的法律主体，不存在《收购管理办法》规定的不得收购上市公司的情形，具有本次免于发出要约收购的主体资格。,长白山森工集团有限公司是否符合免于发出要约收购的资格？,本次收购是否符合《收购管理办法》规定的免除发出要约情形？
139,天册（宁波）律师事务所对宁波弘讯科技股份有限公司2023年第一次临时股东大会法律意见书的评审结论是什么？,天册（宁波）律师事务所认为宁波弘讯科技股份有限公司2023年第一次临时股东大会的召集和召开程序、出席股东大会人员的资格和召集人的资格、以及股东大会的表决程序和表决结果等事项均符合《公司法》、《股东大会规则》等法律、法规、规范性文件及《公司章程》的规定，本次股东大会决议合法有效。,天册（宁波）律师事务所是如何评价宁波弘讯科技股份有限公司2023年第一次临时股东大会的法律意见书内容？,宁波弘讯科技股份有限公司2023年第一次临时股东大会的法律意见书得到天册（宁波）律师事务所的怎样的评价？
